province,crop_type,soil_type,season_rainfall_mm,avg_temp_c,soil_moisture_pct,irrigation_mm,fertilizer_kg_ha,pest_pressure_index,farm_size_ha,yield_tons_per_ha
North West,Maize,Clay,647.2,27.3,34.1,246.3,166.0,3.95,9.1,6.39
Limpopo,Soybean,Sandy,672.5,16.7,33.0,63.7,154.3,0.25,1.2,3.04
KwaZulu-Natal,Sunflower,Sandy,506.0,21.9,30.9,108.8,185.7,1.74,44.8,1.87
KwaZulu-Natal,Wheat,Sandy,673.4,17.7,26.9,13.7,192.5,2.38,2.3,4.05
North West,Maize,Loam,398.6,16.5,19.1,12.3,226.4,1.06,108.4,6.17
Free State,Soybean,Sandy Loam,704.6,25.3,36.9,146.5,129.6,3.84,32.7,3.78
KwaZulu-Natal,Sunflower,Sandy,599.0,21.7,36.4,57.6,208.1,1.56,5.6,2.61
Free State,Soybean,Sandy,685.5,22.1,29.9,56.9,147.9,4.17,41.3,2.91
Free State,Maize,Loam,327.6,21.2,16.8,58.1,237.8,1.97,1.0,6.15
Limpopo,Maize,Clay,550.8,21.2,27.9,92.6,95.1,1.18,11.3,5.04
Free State,Wheat,Sandy Loam,672.7,18.3,39.0,114.8,134.5,1.9,18.9,4.01
Mpumalanga,Soybean,Loam,665.1,18.0,40.1,55.9,133.5,3.67,45.1,4.54
North West,Sunflower,Loam,668.5,23.5,33.0,191.0,114.2,2.76,28.2,2.26
Free State,Maize,Loam,672.0,17.7,43.2,0.0,193.6,3.99,32.4,7.71
KwaZulu-Natal,Soybean,Sandy Loam,688.1,21.2,43.0,0.0,219.2,4.08,129.9,3.06
North West,Maize,Sandy Loam,437.3,18.0,30.2,154.0,226.2,3.85,7.0,5.8
Limpopo,Sunflower,Loam,528.9,25.1,22.1,188.0,258.0,1.28,1.1,3.44
North West,Soybean,Loam,531.4,24.6,32.9,203.6,152.9,1.69,29.8,3.49
Mpumalanga,Soybean,Clay,708.6,22.2,44.0,43.3,232.3,3.74,61.1,3.97
