date,province,rainfall_mm,avg_temp_c
2021-01-01,Free State,2.9,11.5
2021-01-02,Free State,0.0,16.3
2021-01-03,Free State,0.0,15.3
2021-01-04,Free State,0.0,16.7
2021-01-05,Free State,2.3,19.1
2021-01-06,Free State,6.3,19.1
2021-01-07,Free State,2.9,15.8
2021-01-08,Free State,0.0,14.8
2021-01-09,Free State,0.0,16.9
2021-01-10,Free State,0.0,15.5
2021-01-11,Free State,5.8,16.6
2021-01-12,Free State,0.0,15.0
2021-01-13,Free State,0.0,16.4
2021-01-14,Free State,6.0,14.8
2021-01-15,Free State,8.9,17.8
2021-01-16,Free State,2.4,15.1
2021-01-17,Free State,9.3,17.0
2021-01-18,Free State,0.0,14.1
2021-01-19,Free State,6.3,17.2
2021-01-20,Free State,5.1,14.6
2021-01-21,Free State,0.0,16.4
2021-01-22,Free State,4.7,17.6
2021-01-23,Free State,5.1,15.8
2021-01-24,Free State,1.1,14.5
2021-01-25,Free State,20.4,16.8
2021-01-26,Free State,0.0,14.8
2021-01-27,Free State,15.9,15.5
2021-01-28,Free State,0.0,16.5
2021-01-29,Free State,0.0,18.2
2021-01-30,Free State,7.1,16.2
2021-01-31,Free State,0.0,16.3
2021-02-01,Free State,2.1,17.4
2021-02-02,Free State,11.9,16.4
2021-02-03,Free State,0.0,17.3
2021-02-04,Free State,0.0,18.0
2021-02-05,Free State,0.0,15.9
2021-02-06,Free State,6.1,11.5
2021-02-07,Free State,13.0,15.2
2021-02-08,Free State,0.0,18.3
2021-02-09,Free State,1.7,16.5
2021-02-10,Free State,2.3,16.1
2021-02-11,Free State,0.0,18.4
2021-02-12,Free State,12.9,16.5
2021-02-13,Free State,0.0,13.6
2021-02-14,Free State,3.0,14.5
2021-02-15,Free State,0.0,17.5
2021-02-16,Free State,3.8,16.8
2021-02-17,Free State,0.0,19.1
2021-02-18,Free State,0.0,15.9
2021-02-19,Free State,2.8,16.6
2021-02-20,Free State,0.0,15.8
2021-02-21,Free State,0.0,16.4
2021-02-22,Free State,0.0,14.4
2021-02-23,Free State,0.0,16.7
2021-02-24,Free State,0.0,17.3
2021-02-25,Free State,0.0,17.2
2021-02-26,Free State,4.2,20.7
2021-02-27,Free State,5.4,20.3
2021-02-28,Free State,7.1,16.5
2021-03-01,Free State,3.4,14.6
2021-03-02,Free State,5.6,17.6
2021-03-03,Free State,10.4,18.4
2021-03-04,Free State,0.0,16.6
2021-03-05,Free State,1.0,16.8
2021-03-06,Free State,1.4,20.5
2021-03-07,Free State,0.0,17.8
2021-03-08,Free State,7.7,19.2
2021-03-09,Free State,0.0,16.9
2021-03-10,Free State,3.7,18.3
2021-03-11,Free State,0.0,18.0
2021-03-12,Free State,0.0,17.6
2021-03-13,Free State,5.0,20.4
2021-03-14,Free State,3.0,16.7
2021-03-15,Free State,0.0,19.3
2021-03-16,Free State,0.0,18.4
2021-03-17,Free State,0.0,19.6
2021-03-18,Free State,0.0,18.6
2021-03-19,Free State,1.6,20.5
2021-03-20,Free State,1.7,17.9
2021-03-21,Free State,1.8,21.1
2021-03-22,Free State,0.0,19.4
2021-03-23,Free State,0.0,17.6
2021-03-24,Free State,3.8,20.7
2021-03-25,Free State,4.2,19.5
2021-03-26,Free State,1.2,17.3
2021-03-27,Free State,4.6,20.4
2021-03-28,Free State,0.0,21.6
2021-03-29,Free State,0.0,22.1
2021-03-30,Free State,0.0,19.7
2021-03-31,Free State,0.0,20.6
2021-04-01,Free State,5.5,20.5
2021-04-02,Free State,0.0,22.8
2021-04-03,Free State,0.0,19.4
2021-04-04,Free State,0.0,20.0
2021-04-05,Free State,0.0,19.6
2021-04-06,Free State,0.0,18.8
2021-04-07,Free State,0.0,21.4
2021-04-08,Free State,0.0,23.6
2021-04-09,Free State,3.0,21.0
2021-04-10,Free State,1.4,20.0
2021-04-11,Free State,2.1,21.7
2021-04-12,Free State,0.0,22.4
2021-04-13,Free State,0.0,21.4
2021-04-14,Free State,0.0,23.9
2021-04-15,Free State,0.0,20.7
2021-04-16,Free State,0.0,21.5
2021-04-17,Free State,0.0,22.5
2021-04-18,Free State,0.0,22.8
2021-04-19,Free State,0.0,22.4
2021-04-20,Free State,3.0,20.5
2021-04-21,Free State,0.0,26.0
2021-04-22,Free State,4.1,22.2
2021-04-23,Free State,0.0,22.9
2021-04-24,Free State,0.0,23.7
2021-04-25,Free State,0.0,21.9
2021-04-26,Free State,0.0,23.1
2021-04-27,Free State,0.0,22.1
2021-04-28,Free State,0.0,23.8
2021-04-29,Free State,0.0,22.9
2021-04-30,Free State,0.0,23.8
2021-05-01,Free State,0.0,21.9
2021-05-02,Free State,0.0,22.4
2021-05-03,Free State,0.0,21.7
2021-05-04,Free State,2.4,22.7
2021-05-05,Free State,0.0,20.0
